Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,assign(cold),5,0,10000.0,10112.235908600003,9921.750667000002,10544.744707999998,50.6,0.026325863706935165,0.0,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000
POST,assign(wake),50,0,150.0,753.1158208400004,132.5794999999914,10509.561709000001,94.74,0.26325863706935165,0.0,150,150,160,170,270,9900,11000,11000,11000,11000,11000
POST,suspend,54,1,2300.0,2577.0489305370374,2202.9982499999933,7694.592374999999,33.27777777777778,0.2843193280348998,0.005265172741387033,2300,2300,2400,2400,2700,5300,7000,7700,7700,7700,7700
GET,vms,7,0,96,97.57784528571685,85.47487499998851,119.94441699999925,563.4285714285714,0.03685620918970923,0.0,96,97,110,110,120,120,120,120,120,120,120
HOST,wake_ready_ms(host),50,0,46,449.2515150399966,36.863280000005034,10411.717360000002,0.0,0.26325863706935165,0.0,46,48,48,49,72,99,10000,10000,10000,10000,10000
,Aggregated,166,1,150.0,1509.1761054397587,36.863280000005034,10544.744707999998,64.644578313253,0.8740186750702474,0.005265172741387033,150,2300,2300,2300,2700,9900,10000,11000,11000,11000,11000
