Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783250324,5,,Aggregated,0.100000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5,0,10000.0,8775.6861972,2436.8967920000005,10544.744707999998,45.6
1783250325,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250326,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250327,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250328,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250329,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250330,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250331,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250332,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250333,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250334,5,,Aggregated,0.300000,0.000000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,10000.0,8484.723032333335,2436.8967920000005,10544.744707999998,43.5
1783250335,5,,Aggregated,0.100000,0.000000,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,9,0,9900.0,7872.265763333336,98.5428000000029,10544.744707999998,45.0
1783250336,5,,Aggregated,0.100000,0.000000,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,9,0,9900.0,7872.265763333336,98.5428000000029,10544.744707999998,45.0
1783250337,5,,Aggregated,0.100000,0.000000,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,9,0,9900.0,7872.265763333336,98.5428000000029,10544.744707999998,45.0
1783250338,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250339,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250340,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250341,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250342,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250343,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250344,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250345,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
