Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,metal/status,3226,0,87,91.44935436763815,79.95575000000343,403.12350000000004,446.8084314941104,54.59725298297597,0.0,87,89,90,90,92,94,98,370,400,400,400
,Aggregated,3226,0,87,91.44935436763815,79.95575000000343,403.12350000000004,446.8084314941104,54.59725298297597,0.0,87,89,90,90,92,94,98,370,400,400,400
